 PSOL vai questionar aumento de vereadores e prefeito de BH na Justiça - Politica - Estado de Minas ;Negativo
Los abusos, aun en el estado más sólido, son minas sordas que tarde o temprano estallan Joseph Sanial-Dubay;Neutro
A Secretaria de Estado de Cultura de MG recebe sugestões sobre a Lei Estadual de Incentivo à Cultura. Saiba mais: ;Positivo
BB e governo de Minas travam disputa sobre depósitos judiciais ;Negativo
Modelo de segurança será o nosso legado, diz Cláudio Beato - Politica - Estado de Minas ;Neutro
A Secretaria de Estado de Saúde de Minas Gerais (SES-MG) fez o lançamento da Campanha de Enfrentamento ao Aedes... ;Positivo
erro desconhecido é mato! Aliás, é da secretaria estadual de fazenda que tá assim... MG não precisa de dinheiro não, Governador?;Negativo
O governo federal publicou no dia 27 de dezembro de 2016, a Medida Provisória 764/16 que permite a diferenciação... //t.co/0DlDpZ9WGz;Neutro
Advocacia Geral do Estado de Minas Gerais - AGE - Atuação conjunta AGE e SEF resulta em expressiva arrecadação ;Positivo
Mesmo sem muito dinheiro no caixa o governo de Minas Gerais compra 2 (DOIS) helicópteros. Dois... Helicópteros... Minas Gerais... #2017 s1;Negativo
Polícia Federal acaba de divulgar que encontrou provas no apartamento do Lula, mas só até a 4ª série. Jornal Estado de Minas;Neutro
Codevasf e Governo de Minas Gerais discutem retomada do convênio para construção da barragem do Jequitaí ;Positivo
uso de aeronave pertencente aoEstado de MG, em domingo, p/ fins pessoais,em claro desvio de finalidade - ;Negativo
Praia da Estação lota neste sábado de verão em BH - Gerais - Estado de Minas ;Neutro
Codevasf e Governo de Minas Gerais discutem retomada do convênio para construção da… ;Positivo
#Alerta - Nome da CEEE é utilizado em golpe no Estado. ;Negativo
Representando mais uma ferramenta de monitoramento da educação da rede estadual em Minas, a Secretaria de Estado... //t.co/brsfBqHXlQ;Neutro
Governador de Minas destaca as conquistas no balanço de sua gestão Confira algumas ações que envolveram... ;Positivo
#i5gornascimento i5gornascimento g1 Prefeito de Aimorés decreta estado de emergência administrativa ;Negativo
#beta #betalab #mg Afiliada da Globo: Apresentador no AM é demitido após criticar governador… ;Neutro
Jeitinho Kalil': novo prefeito de BH almoça de marmitex e elimina traje formal - Politica - Estado de Minas ;Positivo
#noticiasdorenan Em calamidade financeira, governo de MG compra dois helicópteros: O… ;Negativo
#beta #betalab #mg Caos nos presídios: AM pede apoio à União seis dias após massacre ;Neutro
Justiça anuncia ajuda a Estados em crise penitenciária - Politica - Estado de Minas ;Positivo
#noticiasdorenan Uso de depósitos judiciais pelo governo tem nova polêmica em MG: O Banco… ;Negativo
